Category: All categories
TOP
2021,100
Weather,94
Video,72
YouTube,69
Google,67
Film,65
Translation,64
Price,61
Facebook,61
English language,47
Download,43
Coronavirus disease 2019,41
Female,39
Child,35
Song,34
Game,34
good,34
Google Translate,33
News,32
Car,32
World Wide Web,31
WhatsApp,30
Number,27
Sales,27
Time,26

RISING
UEFA EURO 2020,"+1,750%"
UEFA European Championship,"+1,350%"
2021,"+1,200%"
2022,"+1,150%"
Olympic Games Tokyo 2020,+800%
Summer Olympic Games,+600%
COVID-19 vaccine,+550%
England cricket team,+500%
Vaccine,+500%
India national cricket team,+190%
TikTok,+60%
NBA,+40%
Football,+40%

